uniqueID,senatorsState,senatorFrom,senatorTo,senatorEndReason,sec15Sel,senatorComments
Laught1907,SA,1951-04-28,1969-05-13,Died,0,NA
Lawrie1907,QLD,1965-07-01,1975-11-11,Retired,0,NA
Lawson1875,VIC,1929-07-01,1935-06-30,Retired,0,NA
Lazarus1965,QLD,2014-07-01,2016-07-02,Defeated,0,NA
Leckie1872,VIC,1935-07-01,1947-06-30,Defeated,0,NA
Lees1948,SA,1990-04-04,2005-06-30,Defeated,1,NA
Lewis1932,VIC,1976-12-17,1993-06-30,Retired,1,NA
Leyonhjelm1952,NSW,2014-07-01,2019-03-01,NA,0,NA
Lightfoot1936,WA,1997-05-19,2008-06-30,Retired,1,NA
Lillico1905,TAS,1959-07-01,1974-04-11,Retired,0,NA
Lindgren1969,QLD,2015-05-21,2016-07-02,Defeated,1,NA
Lines1953,WA,2013-05-15,NA,NA,1,NA
Little1914,VIC,1968-07-01,1974-05-18,Defeated,0,NA
Long1870,TAS,1910-07-01,1918-12-20,Resigned,0,NA
Loosley1952,NSW,1990-07-01,1995-05-19,Resigned,0,NA
Ludlam1970,WA,2008-07-01,2017-07-14,Resigned,0,NA
Ludwig1959,QLD,1999-07-01,2016-05-09,Retired,0,NA
Lundy1967,ACT,1996-03-02,2015-03-24,Resigned,0,"Pursuant to the Senate (Representation of Territories) Act 1973, a Senator's term of service expires at the close of the day next preceding the polling day for the general election of Members of the House of Representatives."
Lynch1867,WA,1907-01-01,1938-06-30,Defeated,0,NA
MacDonald1880,QLD,1922-05-26,1922-12-15,Defeated,1,NA
MacDonald1880,QLD,1928-08-01,1928-11-16,Defeated,1,NA
MacDonald1880,QLD,1932-07-01,1937-08-17,Died,0,NA
MacDonald1892,WA,1935-03-05,1947-06-30,Defeated,1,NA
Macdonald1945,QLD,1990-07-01,2019-06-30,Resigned,0,NA
Macdonald1954,NSW,1993-07-01,1999-06-30,Defeated,0,NA
Macdonald1954,NSW,2000-05-04,2008-06-30,Retired,1,NA
Macfarlane1844,TAS,1901-03-29,1910-06-30,Defeated,0,NA
MacGibbon1934,QLD,1978-07-01,1999-06-30,Defeated,0,NA
Mackay1960,TAS,1996-03-08,2005-07-29,Resigned,1,NA
Mackellar1844,NSW,1903-10-08,1903-11-30,Resigned,1,NA
Macklin1943,QLD,1981-07-01,1990-06-30,Retired,0,NA
Madigan1966,VIC,2011-07-01,2016-07-02,Defeated,0,NA
Maguire1945,SA,1983-03-05,1993-06-30,Defeated,0,NA
Maher1891,QLD,1949-12-10,1965-06-30,Retired,0,NA
Margetts1955,WA,1993-07-01,1999-06-30,Defeated,0,NA
Marriott1913,TAS,1953-03-03,1953-05-08,Term Expired,1,NA
Marriott1913,TAS,1953-07-01,1975-11-11,Retired,0,NA
Marshall1960,VIC,2002-07-01,2019-06-30,Resigned,0,NA
Martin1960,TAS,2018-02-09,2019-03-20,NA,0,NA
Martyr1932,WA,1981-03-11,1983-02-04,Defeated,1,NA
Marwick1895,WA,1936-08-19,1937-10-22,Defeated,1,NA
Mason1926,NSW,1978-07-01,1987-06-05,Retired,0,NA
Mason1962,QLD,1999-07-01,2015-04-15,Resigned,0,NA
MassyGreene1874,NSW,1923-10-17,1925-11-13,Term Expired,1,NA
MassyGreene1874,NSW,1926-07-01,1938-06-30,Retired,0,NA
Matheson1861,WA,1901-03-29,1906-12-31,Retired,0,NA
Mattner1893,SA,1944-10-10,1946-09-27,Defeated,1,NA
Mattner1893,SA,1949-12-10,1968-06-30,Retired,0,NA
Maughan1863,QLD,1913-07-01,1920-06-30,Defeated,0,NA
Maunsell1922,QLD,1968-07-01,1981-06-30,Defeated,0,NA
McAllister1973,NSW,2015-05-06,NA,NA,1,NA
McAuliffe1918,QLD,1971-07-01,1981-06-30,Retired,0,NA
McBride1892,SA,1937-10-21,1944-06-30,Defeated,1,NA
McCallum1892,NSW,1949-12-10,1962-06-30,Retired,0,NA
McCarthy1970,NT,2016-07-02,NA,NA,0,NA
McClelland1915,NSW,1971-03-16,1978-07-21,Resigned,1,NA
McClelland1926,NSW,1962-07-01,1987-01-23,Resigned,0,NA
McColl1844,VIC,1907-01-01,1914-09-05,Defeated,0,NA
McDonald,QLD,2019-07-01,NA,NA,0,NA
McDougall1857,NSW,1910-07-01,1920-06-30,Defeated,0,NA
McDougall1857,NSW,1922-12-16,1924-10-14,Died,0,NA
McEwen1954,SA,2005-07-01,2016-07-02,Defeated,0,NA
McGauran1957,VIC,1987-07-11,1990-06-30,Defeated,0,NA
McGauran1957,VIC,1993-07-01,2011-06-30,Defeated,0,NA
McGrath1974,QLD,2014-07-01,NA,NA,0,NA
McGregor1848,SA,1901-03-30,1914-08-13,Died,0,NA
McHugh1887,SA,1923-07-01,1927-07-24,Died,0,NA
McIntosh1925,WA,1974-05-18,1987-06-05,Retired,0,NA
McKellar1903,NSW,1958-11-22,1970-04-13,Died,0,NA
McKenna1895,TAS,1944-07-01,1968-06-30,Retired,0,NA
McKenzie1969,VIC,2011-07-01,NA,NA,0,NA
McKiernan1944,WA,1984-12-01,2002-06-30,Retired,0,NA
McKim1965,TAS,2015-08-19,NA,NA,1,NA
McKissock1872,VIC,1914-09-05,1917-06-30,Defeated,0,NA
McLachlan1870,SA,1935-07-01,1947-06-30,Retired,0,NA
McLachlan1872,SA,1926-02-24,1944-06-30,Retired,1,NA
McLachlan1966,SA,2020-02-06,NA,NA,NA,NA
McLaren1921,SA,1971-07-01,1983-02-04,Retired,0,NA
McLean1937,NSW,1987-07-11,1991-08-23,Resigned,0,NA
McLeay1892,SA,1935-07-01,1947-06-30,Defeated,0,NA
McLeay1892,SA,1949-12-10,1955-09-14,Died,0,NA
McLucas1958,QLD,1999-07-01,2016-05-09,Retired,0,NA
McMahon1967,NT,2019-05-18,NA,NA,0,NA
McManus1905,VIC,1956-07-01,1962-06-30,Defeated,0,NA
McManus1905,VIC,1965-07-01,1974-05-18,Defeated,0,NA
McMullan1947,ACT,1988-02-16,1996-02-06,Resigned,1,"Pursuant to the Senate (Representation of Territories) Act 1973, a Senator's term of service expires at the close of the day next preceding the polling day for the general election of Members of the House of Representatives."
McMullin1900,NSW,1951-04-28,1971-06-30,Retired,0,NA
Melzer1926,VIC,1974-05-18,1981-06-30,Defeated,0,NA
Messner1939,SA,1975-12-13,1990-04-17,Resigned,0,NA
Millen1860,NSW,1901-03-29,1923-09-14,Died,0,NA
Millen1877,TAS,1920-07-01,1938-06-30,Defeated,0,NA
Milliner1911,QLD,1968-07-01,1975-06-30,Died,0,NA
Milne1953,TAS,2005-07-01,2015-08-10,NA,0,NA
Minchin1953,SA,1993-07-01,2011-06-30,Retired,0,NA
Missen1925,VIC,1974-05-18,1986-03-30,Died,0,NA
Molan1950,NSW,2017-12-22,2019-06-30,Defeated,0,NA
Molan1950,NSW,2019-06-30,NA,NA,1,NA
Mooney1880,NSW,1931-12-23,1932-06-30,Term Expired,1,NA
Moore1956,QLD,2002-07-01,2019-06-30,Retired,0,NA
Morris1903,QLD,1963-11-30,1968-06-30,Retired,0,NA
Morris1936,NSW,1985-07-01,1990-06-30,Retired,0,NA
Morrow1888,TAS,1947-07-01,1953-06-30,Defeated,0,NA
Muir1980,VIC,2014-07-01,2016-07-02,Defeated,0,NA
Mulcahy1850,TAS,1904-01-01,1910-05-10,Defeated,0,NA
Mulcahy1850,TAS,1919-01-15,1920-06-30,Retired,1,NA
Mullan1871,QLD,1913-07-01,1917-06-30,Defeated,0,NA
Mulvihill1919,NSW,1965-07-01,1983-02-04,Retired,0,NA
Murphy1922,NSW,1962-07-01,1975-02-09,Resigned,0,NA
Murphy1952,TAS,1993-07-01,2005-06-30,Defeated,0,NA
Murray1906,TAS,1947-07-01,1951-03-19,Defeated,0,NA
Murray1947,WA,1996-07-01,2008-06-30,Retired,0,NA
Nash1890,WA,1943-08-21,1951-12-12,Died,0,NA
Nash1965,NSW,2005-07-01,2017-10-27,Resigned,0,NA
Neal1947,VIC,1980-03-11,1981-06-30,Defeated,1,NA
Neal1963,NSW,1994-03-08,1998-09-03,Resigned,1,NA
Needham1872,WA,1907-01-01,1920-06-30,Defeated,0,NA
Needham1872,WA,1923-07-01,1929-06-30,Defeated,0,NA
Negus1912,WA,1971-07-01,1974-05-18,Defeated,0,NA
Neild1846,NSW,1901-03-29,1910-06-30,Defeated,0,NA
Nettle1973,NSW,2002-07-01,2008-06-30,Defeated,0,NA
Newlands1864,SA,1913-07-01,1932-05-20,Died,0,NA
Newman1937,TAS,1986-03-13,2002-02-01,Resigned,1,NA
Nicholls1894,SA,1944-07-01,1968-06-30,Retired,0,NA
Oakes1861,NSW,1913-07-01,1914-09-05,Defeated,0,NA
OBrien1951,TAS,1996-09-05,2011-06-30,Retired,1,NA
OByrne1912,TAS,1947-07-01,1981-06-30,Retired,0,NA
OChee1965,QLD,1990-05-08,1999-06-30,Defeated,1,NA
OConnor1851,NSW,1901-03-29,1903-09-27,Resigned,0,NA
OFlaherty1886,SA,1944-07-01,1962-06-30,Retired,0,NA
Ogden1868,TAS,1923-07-01,1932-02-05,Died,0,NA
OHalloran1893,SA,1928-11-17,1935-06-30,Defeated,0,NA
OKeefe1864,TAS,1901-03-29,1906-12-31,Defeated,0,NA
OKeefe1864,TAS,1910-07-01,1920-06-30,Defeated,0,NA
OLoghlin1852,SA,1907-07-11,1907-12-20,Voided,1,Chosen by Parliament of South Australia on 11.7.1907; selection declared void on 20.12.1907.
OLoghlin1852,SA,1913-07-01,1920-06-30,Defeated,0,NA
OLoghlin1852,SA,1923-07-01,1925-12-04,Died,0,NA
Olsen1945,SA,1990-05-07,1992-05-04,Resigned,1,NA
ONeill1961,NSW,2013-11-13,2014-06-30,Term Expired,1,NA
ONeill1961,NSW,2014-07-02,NA,NA,1,NA
Ormonde1901,NSW,1958-07-30,1958-11-21,Term Expired,1,NA
Ormonde1901,NSW,1959-07-01,1970-11-30,Died,0,NA
OSullivan1900,QLD,1947-07-01,1962-06-30,Retired,0,NA
OSullivan1957,QLD,2014-02-11,2019-06-30,Defeated In Preselection,1,NA
OSullivan1986,WA,2019-07-01,NA,NA,0,NA
Paltridge1910,WA,1951-04-28,1966-01-21,Died,0,NA
Panizza1931,WA,1987-07-11,1997-01-31,Died,0,NA
Parer1936,QLD,1984-11-22,2000-02-11,Resigned,1,NA
Parry1960,TAS,2005-07-01,2017-11-02,NA,0,NA
Paterson1987,VIC,2016-03-09,NA,NA,1,NA
Patrick1967,SA,2017-11-14,NA,NA,0,NA
Patterson1944,VIC,1987-07-11,2008-06-30,Retired,0,NA
Payne1866,TAS,1920-07-01,1938-06-30,Defeated,0,NA
Payne1964,NSW,1997-04-09,NA,NA,1,NA
Pearce1870,WA,1901-03-29,1938-06-30,Defeated,0,NA
Pearson1905,SA,1951-04-28,1961-09-11,Died,0,NA
Peris1971,NT,2013-09-07,2016-05-09,Retired,0,NA
Piesse1900,WA,1949-12-10,1952-08-25,Died,0,NA
Plain1868,VIC,1917-07-01,1923-06-30,Defeated,0,NA
Plain1868,VIC,1925-08-25,1938-06-30,Defeated,1,NA
Playford1837,SA,1901-03-30,1906-12-31,Defeated,0,NA
Poke1906,TAS,1956-07-01,1974-04-11,Retired,0,NA
Polley1957,TAS,2005-07-01,NA,NA,0,NA
Poulter1913,QLD,1962-07-01,1962-09-02,Died,0,NA
Powell1942,VIC,1986-08-26,1993-06-30,Defeated,1,NA
Power1883,NSW,1924-11-20,1925-01-13,Died,1,NA
Poyser1915,VIC,1966-10-26,1975-11-11,Retired,1,NA
Pratt1972,WA,2008-07-01,2014-06-30,Defeated,0,NA
Pratt1972,WA,2016-07-02,NA,NA,0,NA
Pratten1865,NSW,1917-07-01,1921-11-23,Resigned,0,NA
Primmer1924,VIC,1971-07-01,1985-06-30,Retired,0,NA
Prowse1905,WA,1962-07-01,1973-12-31,Resigned,0,NA
Pulsford1844,NSW,1901-03-29,1910-06-30,Defeated,0,NA
Puplick1948,NSW,1978-07-26,1981-06-30,Defeated,0,NA
Puplick1948,NSW,1984-12-01,1990-06-30,Defeated,0,NA
Quirke1950,SA,1997-09-18,2000-08-15,Resigned,1,NA
Rae1860,NSW,1910-07-01,1914-09-05,Defeated,0,NA
Rae1860,NSW,1929-07-01,1935-06-30,Defeated,0,NA
Rae1932,TAS,1968-07-01,1986-01-16,Resigned,0,NA
Rankin1887,VIC,1949-12-10,1956-06-30,Retired,0,NA
Rankin1908,QLD,1947-07-01,1971-05-24,Resigned,0,NA
Ray1947,VIC,1981-07-01,2008-05-05,Resigned,0,NA
Ready1878,TAS,1910-07-01,1917-03-01,Resigned,0,NA
Reid1842,VIC,1903-01-21,1903-12-31,Retired,1,NA
Reid1856,QLD,1917-07-01,1935-06-30,Retired,0,NA
Reid1886,NSW,1949-12-10,1962-05-22,Died,0,NA
Reid1933,WA,1974-01-16,1974-05-18,Defeated,1,NA
ReidMargaret1935,ACT,1981-05-05,2003-02-14,Resigned,1,"Pursuant to the Senate (Representation of Territories) Act 1973, a Senator's term of service expires at the close of the day next preceding the polling day for the general election of Members of the House of Representatives."
Rennick1970,QLD,2019-07-01,NA,NA,0,NA
Reynolds1941,QLD,1983-03-05,1999-06-30,Retired,0,NA
Reynolds1965,WA,2014-07-01,NA,NA,0,NA
Rhiannon1951,NSW,2011-07-01,2018-08-15,NA,0,NA
Rice1960,VIC,2014-07-01,NA,NA,0,NA
Richardson1949,NSW,1983-03-05,1994-03-25,Resigned,0,NA
Ridgeway1962,NSW,1999-07-01,2005-06-30,Defeated,0,NA
Ridley1909,SA,1959-07-01,1971-06-30,Retired,0,NA
Roberts1955,QLD,2016-07-02,2017-10-27,Ineligible,0,NA
Roberts1955,QLD,2019-07-02,NA,NA,NA,NA
Robertson1882,WA,1949-12-10,1962-06-30,Retired,0,NA
Robertson1929,NT,1975-12-13,1987-06-05,Retired,0,"Pursuant to the Senate (Representation of Territories) Act 1973, a Senator's term of service expires at the close of the day next preceding the polling day for the general election of Members of the House of Representatives."
Robinson1877,SA,1928-04-18,1928-11-16,Defeated,1,NA
Robinson1907,WA,1952-09-30,1953-05-08,Defeated,1,NA
Rocher1936,WA,1978-07-01,1981-02-10,Resigned,0,NA
Ronaldson1954,VIC,2005-07-01,2016-02-28,Resigned,0,NA
Rowell1851,SA,1917-05-24,1923-06-30,Defeated,1,NA
Russell1842,SA,1907-01-01,1912-06-28,Died,0,NA
Russell1878,VIC,1907-01-01,1925-07-18,Died,0,NA
Ruston1963,SA,2012-09-05,NA,NA,1,NA
Ryan1890,SA,1949-12-10,1959-06-30,Retired,0,NA
Ryan1942,ACT,1975-12-13,1988-01-29,Resigned,0,There was a question mark
Ryan1973,VIC,2008-07-01,2021-10-13,Resigned,0,NA
Sampson1882,TAS,1925-11-14,1938-06-30,Defeated,0,NA
Sampson1882,TAS,1941-07-01,1947-06-30,Defeated,0,NA
Sanders1932,TAS,1985-07-01,1990-03-01,Resigned,0,NA
Sandford1895,VIC,1947-07-01,1956-06-30,Defeated,0,NA
Sandford1895,VIC,1957-06-06,1966-10-22,Died,1,NA
Santoro1956,QLD,2002-10-29,2007-04-11,Resigned,1,NA
Sargood1834,VIC,1901-03-29,1903-01-02,Died,0,NA
Saunders1855,WA,1903-05-20,1903-12-31,Defeated,1,NA
Sayers1845,QLD,1907-01-01,1913-06-30,Defeated,0,NA
Scarr1969,QLD,2019-07-01,NA,NA,0,NA
Schacht1946,SA,1987-07-11,2002-06-30,Defeated,0,NA
Scott1910,WA,1949-12-10,1971-06-30,Retired,0,NA
Scott1920,NSW,1970-08-06,1970-11-20,Term Expired,1,NA
Scott1920,NSW,1974-05-18,1985-06-30,Retired,0,NA
Scullion1956,NT,2001-11-10,2019-06-30,Retired,0,"Pursuant to the Senate (Representation of Territories) Act 1973, a Senator's term of service expires at the close of the day next preceding the polling day for the general election of Members of the House of Representatives."
Senior1850,SA,1913-07-01,1923-06-30,Defeated,0,NA
Seselja1977,ACT,2013-09-07,NA,NA,0,"Pursuant to the Senate (Representation of Territories) Act 1973, a Senator's term of service expires at the close of the day next preceding the polling day for the general election of Members of the House of Representatives."
Seward1884,WA,1951-04-28,1958-07-23,Died,0,NA
Shannon1862,SA,1912-07-31,1913-06-30,Defeated,1,NA
Shannon1862,SA,1914-09-05,1920-06-30,Retired,0,NA
Sheehan1885,VIC,1938-07-12,1940-09-20,Defeated,1,NA
Sheehan1885,VIC,1944-07-01,1962-06-30,Retired,0,NA
Sheil1929,QLD,1974-05-18,1981-02-06,Resigned,0,NA
Sheil1929,QLD,1984-12-01,1990-06-30,Defeated,0,NA
Sheldon1961,NSW,2019-07-01,NA,NA,0,NA
Sherrington1902,QLD,1962-07-01,1966-03-16,Died,0,NA
Sherry1955,TAS,1990-07-01,2012-06-01,Resigned,0,NA
Short1936,VIC,1984-12-01,1997-05-12,Resigned,0,NA
Sibraa1937,NSW,1975-12-13,1978-06-30,NA,0,NA
Sibraa1937,NSW,1978-08-09,1994-02-01,Resigned,1,NA
Siddons1927,VIC,1981-07-01,1983-02-04,Defeated,0,NA
Siddons1927,VIC,1985-07-01,1987-06-05,Defeated,0,NA
Siewert1961,WA,2005-07-01,2021-09-06,Resigned,0,NA
Sim1917,WA,1964-11-26,1981-06-30,Retired,1,NA
Simmonds1889,QLD,1949-12-10,1951-03-19,Retired,0,NA
Simms1984,SA,2015-09-22,2016-07-02,Defeated,1,NA
Singh1972,TAS,2011-07-01,2019-06-30,NA,0,NA
Sinodinos1957,NSW,2011-10-13,2019-11-11,Retired,1,NA
Small1988,WA,2020-11-25,NA,NA,1,NA
Smith1969,WA,2012-05-02,NA,NA,1,NA
Smith1986,SA,2019-07-01,NA,NA,0,NA
SmithMiles1869,WA,1901-03-29,1906-12-31,Retired,0,NA
Sowada1961,NSW,1991-08-29,1993-06-30,Defeated,1,NA
Spender1975,NSW,2019-03-20,2019-06-30,NA,0,NA
Spicer1899,VIC,1940-09-21,1944-06-30,NA,0,NA
Spicer1899,VIC,1949-12-10,1956-08-13,Resigned,0,NA
Spindler1932,VIC,1990-07-01,1996-06-30,Retired,0,NA
Spooner1897,NSW,1949-12-10,1965-07-14,Resigned,0,NA
SteeleJohn1994,WA,2017-11-10,NA,NA,0,NA
Stephens1954,NSW,2002-07-01,2014-06-30,Defeated,0,NA
Sterle1960,WA,2005-07-01,NA,NA,0,NA
Stewart1850,QLD,1901-03-30,1917-06-30,Defeated,0,NA
StLedger1859,QLD,1907-01-01,1913-06-30,Defeated,0,NA
Stoker1982,QLD,2018-03-21,NA,NA,0,NA
Stone1929,QLD,1987-07-11,1990-03-01,Resigned,0,NA
Storer1969,SA,2018-02-16,2019-06-30,NA,0,NA
Story1857,SA,1904-01-01,1917-04-03,Resigned,0,NA
StottDespoja1969,SA,1995-11-29,2008-06-30,Retired,1,NA
Styles1841,VIC,1901-03-29,1906-12-31,Defeated,0,NA
Sullivan1942,QLD,1974-05-18,1984-11-05,Resigned,0,NA
Symon1846,SA,1901-03-30,1913-06-30,Defeated,0,NA
Synon1959,VIC,1997-05-13,1999-06-30,Defeated,1,NA
Tambling1943,NT,1987-07-11,2001-11-09,Retired,0,NA
Tangney1907,WA,1943-08-21,1968-06-30,Defeated,0,NA
Tate1894,NSW,1949-12-10,1953-06-30,Retired,0,NA
Tate1945,TAS,1978-07-01,1993-07-05,Resigned,0,NA
Tchen1941,VIC,1999-07-01,2005-06-30,Retired,0,NA
Teague1944,SA,1978-07-01,1996-06-30,Retired,0,NA
Tehan1916,VIC,1975-12-13,1978-06-30,Defeated,0,NA
Thistlethwaite1972,NSW,2011-07-01,2013-08-09,Resigned,0,NA
Thomas1863,NSW,1917-07-01,1923-06-30,Defeated,0,NA
Thomas1863,NSW,1925-11-14,1929-06-30,Defeated,0,NA
Thomas1936,WA,1975-12-13,1983-02-04,Defeated,0,NA
Thompson1863,QLD,1922-12-16,1932-06-30,Defeated,0,NA
Thorp1953,TAS,2012-06-20,2014-06-30,Defeated,1,NA
Thorpe1973,VIC,2020-09-04,NA,NA,NA,NA
Tierney1946,NSW,1991-02-11,2005-04-14,Resigned,1,NA
Tillem1974,VIC,2013-08-21,2014-06-30,Defeated,1,NA
Toohey1909,SA,1953-07-01,1971-06-30,Retired,0,NA
Townley1934,TAS,1971-07-01,1987-06-05,Retired,0,NA
Trenwith1846,VIC,1904-01-01,1910-06-30,Defeated,0,NA
Troeth1940,VIC,1993-07-01,2011-06-30,Retired,0,NA
Trood1948,QLD,2005-07-01,2011-06-30,Defeated,0,NA
Turley1859,QLD,1904-01-01,1917-06-30,Defeated,0,NA
Turnbull1908,TAS,1962-07-01,1974-04-11,Retired,0,NA
Uppill1876,SA,1935-07-01,1944-09-16,Resigned,0,NA
Urquhart1957,TAS,2011-07-01,NA,NA,0,NA
Vallentine1946,WA,1985-07-01,1992-01-31,Resigned,0,NA
Van,VIC,2019-07-01,NA,NA,0,NA
Vanstone1952,SA,1984-12-01,2007-04-26,Resigned,0,NA
Vardon1843,SA,1907-01-01,1907-05-31,Voided,0,Election void
Vardon1843,SA,1908-02-15,1913-06-30,Defeated,0,NA
Vardon1866,SA,1921-02-16,1921-08-04,NA,1,Appointment not confirmed by South Australian Parliament within fourteen days after commencement of its next session as required by section 15 of the Constitution.
Vardon1866,SA,1921-08-09,1922-12-15,Defeated,1,NA
Verran1856,SA,1927-08-30,1928-11-16,Defeated,1,NA
Vigor1939,SA,1984-12-01,1987-06-05,Defeated,0,NA
Vincent1906,WA,1950-07-01,1964-11-09,Died,0,NA
Wade1905,VIC,1956-07-01,1964-11-18,Died,0,NA
Walker1841,NSW,1901-03-29,1913-06-30,Retired,0,NA
Walsh1935,WA,1974-05-18,1993-06-30,Retired,0,NA
Walsh1971,VIC,2019-07-01,NA,NA,0,NA
Walters1925,TAS,1975-12-13,1993-06-30,Retired,0,NA
Wang1981,WA,2014-07-01,2016-07-02,Defeated,0,NA
Ward1872,SA,1947-07-01,1951-04-28,Defeated,0,NA
Wardlaw1888,TAS,1953-05-09,1962-06-30,Retired,0,NA
Waters1977,QLD,2011-07-01,2017-07-18,Resigned,0,NA
Waters1977,QLD,2018-09-06,NA,NA,0,NA
Watson1870,NSW,1914-09-05,1917-06-30,Defeated,0,NA
Watson1937,TAS,1978-07-01,2008-06-30,Retired,0,NA
Watt1973,QLD,2016-07-02,NA,NA,0,NA
Webber1965,WA,2002-07-01,2008-06-30,Defeated,0,NA
Webster1925,VIC,1964-12-09,1980-01-28,Resigned,1,NA
Webster1959,VIC,2019-05-18,NA,NA,NA,NA
Wedgwood1896,VIC,1949-12-10,1971-06-30,Retired,0,NA
Wells1985,QLD,2019-05-18,NA,NA,NA,NA
West1947,NSW,1987-02-11,1987-06-05,Defeated,1,NA
West1947,NSW,1990-07-01,2002-06-30,Retired,0,NA
Wheeldon1929,WA,1965-07-01,1981-06-30,Retired,0,NA
Wheelwright1953,NSW,1995-05-24,1996-06-30,Defeated,1,NA
WhishWilson1968,TAS,2012-06-20,NA,NA,1,NA
Whiteside1902,QLD,1962-10-09,1963-11-30,Defeated,1,NA
Wilkinson1903,WA,1966-11-26,1974-04-11,Retired,0,NA
Willesee1916,WA,1949-12-10,1975-11-11,Retired,0,NA
Williams1955,NSW,2008-07-01,2019-06-30,Retired,0,NA
Wilson1877,SA,1920-07-01,1926-06-30,Defeated,0,NA
Wilson1900,SA,1938-07-01,1944-06-30,Defeated,0,NA
Withers1924,WA,1966-02-17,1966-11-26,Defeated,1,NA
Withers1924,WA,1968-07-01,1987-06-05,Retired,0,NA
Wong1968,SA,2002-07-01,NA,NA,0,NA
Wood1901,QLD,1949-12-10,1978-06-30,Retired,0,NA
Wood1949,NSW,1987-07-11,1988-05-12,NA,0,Disqualified under the provisions of the Commonwealth Electoral Act 1918.
Woodley1938,QLD,1993-07-01,2001-07-27,Resigned,0,NA
WoodsRobert1947,NSW,1994-03-08,1997-03-07,Resigned,1,NA
Wordsworth1894,TAS,1949-12-10,1959-06-30,Defeated,0,NA
Wortley1959,SA,2005-07-01,2011-06-30,Defeated,0,NA
Wriedt1927,TAS,1968-07-01,1980-09-25,Resigned,0,NA
Wright1905,TAS,1949-12-10,1978-06-30,Retired,0,NA
Wright1961,SA,2011-07-01,2015-09-10,NA,0,NA
Xenophon1959,SA,2008-07-01,2017-10-31,NA,0,NA
Young1923,SA,1968-07-01,1983-02-04,Defeated,0,NA
Zakharov1929,VIC,1983-03-05,1995-03-06,Died,0,NA
Zeal1830,VIC,1901-03-29,1906-12-31,Retired,0,NA
